participant_id	original_participant_id	species	sex	strain
sub-ZM+2245	sub-ZM_2245	Mus musculus	F	C57BL/6
sub-ZM+3003	sub-ZM_3003	Mus musculus	M	C57BL/6
sub-ibl+witten+13	sub-ibl_witten_13	Mus musculus	M	C57BL/6
sub-ibl+witten+17	sub-ibl_witten_17	Mus musculus	M	C57BL/6
sub-ibl+witten+18	sub-ibl_witten_18	Mus musculus	M	C57BL/6
sub-ibl+witten+19	sub-ibl_witten_19	Mus musculus	M	C57BL/6
sub-ibl+witten+20	sub-ibl_witten_20	Mus musculus	M	C57BL/6
sub-ibl+witten+25	sub-ibl_witten_25	Mus musculus	M	C57BL/6
sub-ibl+witten+26	sub-ibl_witten_26	Mus musculus	M	C57BL/6
sub-ibl+witten+27	sub-ibl_witten_27	Mus musculus	F	C57BL/6
sub-ibl+witten+29	sub-ibl_witten_29	Mus musculus	M	C57BL/6
sub-ibl+witten+32	sub-ibl_witten_32	Mus musculus	M	C57BL/6
